fecha,tasa
2002-05-31,12.77
2002-06-30,16.76
2002-07-31,16.8
2002-08-31,16.21
2002-09-30,16.08
2002-10-31,16.08
2002-11-30,16.08
2002-12-31,16.08
2003-01-31,16.08
2003-02-28,16.08
2003-03-31,16.08
2003-04-30,16.08
2003-05-31,16.08
2003-06-30,16.08
2003-07-31,16.08
2003-08-31,16.08
2003-09-30,16.08
2003-10-31,16.08
2003-11-30,16.08
2003-12-31,16.08
2004-01-31,16.08
2004-02-29,16.08
2004-03-31,16.08
2004-04-30,16.08
2004-05-31,16.08
2004-06-30,16.08
2004-07-31,16.08
2004-08-31,16.08
2004-09-30,16.08
2004-10-31,16.08
2004-11-30,16.23
2004-12-31,16.08
2005-01-31,16.08
2005-02-28,16.08
2005-03-31,16.08
2005-04-30,16.08
2005-05-31,16.02
2005-06-30,16.01
2005-07-31,15.83
2005-08-31,15.84
2005-09-30,15.26
2005-10-31,15.12
2005-11-30,14.93
2005-12-31,15.38
2006-01-31,14.41
2006-02-28,15.16
2006-03-31,15.33
2006-04-30,14.44
2006-05-31,14.18
2006-06-30,13.37
2006-07-31,13.27
2006-08-31,13.33
2006-09-30,13.22
2006-10-31,13.21
2006-11-30,13.3
2006-12-31,13.32
2007-01-31,13.23
2007-02-28,13.65
2007-03-31,13.95
2007-04-30,14.0
2007-05-31,14.59
2007-06-30,15.14
2007-07-31,15.3
2007-08-31,15.5
2007-09-30,15.4
2007-10-31,15.27
2007-11-30,15.45
2007-12-31,15.66
2008-01-31,15.74
2008-02-29,15.94
2008-03-31,16.02
2008-04-30,16.07
2008-05-31,16.2
2008-06-30,16.17
2008-07-31,16.28
2008-08-31,16.62
2008-09-30,16.86
2008-10-31,16.98
2008-11-30,16.92
2008-12-31,17.07
2009-01-31,17.0
2009-02-28,16.7
2009-03-31,16.48
2009-04-30,16.32
2009-05-31,15.86
2009-06-30,15.2
2009-07-31,14.94
2009-08-31,14.43
2009-09-30,14.17
2009-10-31,14.03
2009-11-30,13.92
2009-12-31,13.53
2010-01-31,13.04
2010-02-28,12.92
2010-03-31,12.94
2010-04-30,12.78
2010-05-31,12.76
2010-06-30,12.59
2010-07-31,12.77
2010-08-31,12.79
2010-09-30,12.74
2010-10-31,12.71
2010-11-30,12.68
2010-12-31,12.78
2011-01-31,12.85
2011-02-28,12.94
2011-03-31,12.99
2011-04-30,12.7
2011-05-31,12.62
2011-06-30,12.66
2011-07-31,12.91
2011-08-31,13.01
2011-09-30,13.2
2011-10-31,13.31
2011-11-30,13.34
2011-12-31,13.13
2012-01-31,13.45
2012-02-29,13.43
2012-03-31,13.44
2012-04-30,13.48
2012-05-31,13.46
2012-06-30,13.39
2012-07-31,13.13
2012-08-31,13.46
2012-09-30,13.31
2012-10-31,13.17
2012-11-30,12.94
2012-12-31,12.91
2013-01-31,12.85
2013-02-28,12.69
2013-03-31,12.55
2013-04-30,12.11
2013-05-31,11.67
2013-06-30,11.55
2013-07-31,11.76
2013-08-31,11.83
2013-09-30,11.94
2013-10-31,11.98
2013-11-30,11.97
2013-12-31,11.96
2014-01-31,11.97
2014-02-28,11.98
2014-03-31,12.02
2014-04-30,12.08
2014-05-31,12.11
2014-06-30,12.17
2014-07-31,12.06
2014-08-31,12.16
2014-09-30,11.94
2014-10-31,11.91
2014-11-30,11.91
2014-12-31,11.86
2015-01-31,11.91
2015-02-28,11.94
2015-03-31,11.93
2015-04-30,11.98
2015-05-31,12.0
2015-06-30,11.99
2015-07-31,11.91
2015-08-31,11.88
2015-09-30,11.9
2015-10-31,12.0
2015-11-30,12.34
2015-12-31,12.36
2016-01-31,12.43
2016-02-29,12.59
2016-03-31,12.61
2016-04-30,12.72
2016-05-31,12.83
2016-06-30,12.8
2016-07-31,12.82
2016-08-31,12.78
2016-09-30,12.8
2016-10-31,12.79
2016-11-30,12.89
2016-12-31,12.87
2017-01-31,12.84
2017-02-28,12.75
2017-03-31,12.88
2017-04-30,12.77
2017-05-31,12.86
2017-06-30,12.58
2017-07-31,12.3
2017-08-31,12.13
2017-09-30,12.08
2017-10-31,11.98
2017-11-30,11.93
2017-12-31,11.9
2018-01-31,11.81
2018-02-28,11.9
2018-03-31,11.76
2018-04-30,11.76
2018-05-31,11.75
2018-06-30,11.63
2018-07-31,11.66
2018-08-31,11.64
2018-09-30,11.68
2018-10-31,11.73
2018-11-30,11.69
2018-12-31,11.59
2019-01-31,11.7
2019-02-28,11.65
2019-03-31,11.53
2019-04-30,11.6
2019-05-31,11.53
2019-06-30,11.48
2019-07-31,11.5
2019-08-31,11.46
2019-09-30,11.49
2019-10-31,11.37
2019-11-30,11.35
2019-12-31,11.3
2020-01-31,11.43
2020-02-29,11.63
2020-03-31,11.6
2020-04-30,11.6
2020-05-31,11.59
2020-06-30,11.7
2020-07-31,11.68
2020-08-31,11.66
2020-09-30,11.52
2020-10-31,11.48
2020-11-30,11.38
2020-12-31,11.35
2021-01-31,11.34
2021-02-28,10.88
2021-03-31,10.65
2021-04-30,10.73
2021-05-31,10.69
2021-06-30,10.54
2021-07-31,10.54
2021-08-31,10.51
2021-09-30,10.46
2021-10-31,10.46
2021-11-30,10.78
2021-12-31,10.83
2022-01-31,10.71
2022-02-28,10.84
2022-03-31,11.19
2022-04-30,11.65
2022-05-31,12.1
2022-06-30,12.37
2022-12-31,15.79
2023-01-31,16.58
2023-03-31,15.89
2023-06-30,15.04
2023-07-31,15.02
2023-08-31,14.83
2023-09-30,14.56
